uid,date,total_session_duration_in_seconds
vTXv1CGFmNZy9lQOOMKMj0tkZxh2,2024-06-02,1139039.549
xAMdtkw2WJcF7BJ2cPyscJzMosa2,2024-06-04,233.52700000000002
xd90PSoHbugHnzRD3eqHotP076X2,2024-06-03,17312.021
xgDgsGLYg7UttGQHjZ1cYneETio1,2024-05-18,997.5260000000001
yK8bHykMuPg4KqJof3jeuMI7Dn72,2024-05-18,172.19
yQ1j9k7yBLXtO4ZD5Z3ps21pdaH3,2024-06-07,0.681
z4KDXAVTG5XJAZNShFK53aNjwbv2,2024-05-15,1118.5349999999999
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-04-20,0.0
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-04-21,87683.414
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-04-22,113964.595
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-04-24,142921.833
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-04-25,104776.335
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-04-29,350249.97
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-04-30,94150.431
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-05-01,51177.786
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-05-03,167994.338
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-05-04,116893.061
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-05-07,258160.883
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-05-10,280175.527
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-05-11,82377.85
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-05-12,77756.51299999999
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-05-13,89148.642
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-05-14,90690.27
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-05-15,77397.429
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-05-16,94482.393
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-05-17,72007.083
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-05-18,81905.605
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-05-19,87839.332
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-05-21,187541.19700000001
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-05-22,47524.727
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-05-23,108166.541
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-05-24,108320.741
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-05-25,71762.01599999999
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-05-26,89563.207
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-05-27,81869.78
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-06-01,415302.55199999997
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-06-03,185413.297
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-06-04,74358.82400000001
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-06-05,112536.3
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-06-06,80939.325
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-06-07,89108.583
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-06-08,48789.483
z5Vl3tUSRgalHfSho6JFNkpjxpn1,2024-06-09,97114.809
zAUbebwMo3TY8MqBKBldpDeyIUb2,2024-05-19,493.652
zAUbebwMo3TY8MqBKBldpDeyIUb2,2024-05-28,758856.1849999999
