uid,date,session_id,session_duration_in_seconds
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-16,14.0,51565.46
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-17,15.0,78508.53
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-17,16.0,25845.709000000003
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-17,17.0,8477.853
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-17,18.0,2136.953
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-18,19.0,68819.513
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-18,20.0,15068.888
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-19,21.0,68260.347
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-19,22.0,6231.601
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-19,23.0,2163.7000000000003
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-20,24.0,102303.843
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-05-21,25.0,50753.893000000004
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-06-01,26.0,966238.478
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-06-07,27.0,531369.521
Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,2024-06-09,28.0,156428.20799999998
UA1M59C8H0UtN5oIYKGV9DYoXVI2,2024-05-27,1.0,192.15800000000002
VACXPdk4TsUF70UeduW2icfq9X62,2024-05-27,1.0,193.13
VACXPdk4TsUF70UeduW2icfq9X62,2024-06-07,2.0,972264.684
VACXPdk4TsUF70UeduW2icfq9X62,2024-06-10,3.0,244061.055
VulbuFlwrTdFHxGh5d7aSZ9y17c2,2024-05-24,1.0,692.115
X5pSoHXR7oa4XH90Mg3huDaWASt1,2024-05-30,1.0,2105.411
axYHQ2yjnTdwLf6R7eP5LKm82Y53,2024-05-23,1.0,599.771
b6aunqCXt4RLfdmcQLxYZR1F6W33,2024-05-17,1.0,1759.387
b6aunqCXt4RLfdmcQLxYZR1F6W33,2024-05-17,2.0,3501.9
b6aunqCXt4RLfdmcQLxYZR1F6W33,2024-05-25,3.0,669446.805
bD9Zu0RHF0Vk1WGtyTAScOiZKRg2,2024-05-20,1.0,168.345
eqVRCGB0etRAiheg44A0jnSQcSm2,2024-05-19,1.0,18.679
erTb8ZSFbaQH1hUIRYvVoOEoAOm1,2024-05-18,1.0,172.782
erTb8ZSFbaQH1hUIRYvVoOEoAOm1,2024-05-18,2.0,10186.333
ffFOXVzeR2VK49LNLOTrVK2u6DV2,2024-05-25,1.0,136.78799999999998
g1Os1DQ1U9UxVfYBnLKIl03XTEm2,2024-05-27,1.0,201.70100000000002
g1Os1DQ1U9UxVfYBnLKIl03XTEm2,2024-05-27,2.0,39036.106
g1Os1DQ1U9UxVfYBnLKIl03XTEm2,2024-05-31,3.0,332303.985
g1Os1DQ1U9UxVfYBnLKIl03XTEm2,2024-06-03,4.0,261975.334
g1Os1DQ1U9UxVfYBnLKIl03XTEm2,2024-06-09,5.0,537495.89
g1Os1DQ1U9UxVfYBnLKIl03XTEm2,2024-06-09,6.0,19323.993
hA911Hr90KPbY6yO0OACx8tP2NE2,2024-05-16,1.0,182.008
hA911Hr90KPbY6yO0OACx8tP2NE2,2024-05-28,2.0,1029187.522
iAooyGTe0sVTTvfpNpQHg2hKTuv1,2024-05-25,1.0,256.938
is374p6NnHNF6Xu4obrSYzCYZTc2,2024-05-14,1.0,0.0
j1jWB00cpfQqRcebA5qcsGkPsyX2,2024-06-05,1.0,11.471
j1jWB00cpfQqRcebA5qcsGkPsyX2,2024-06-06,2.0,57338.450999999994
j1jWB00cpfQqRcebA5qcsGkPsyX2,2024-06-06,3.0,5065.397
j1jWB00cpfQqRcebA5qcsGkPsyX2,2024-06-07,4.0,74123.406
j1jWB00cpfQqRcebA5qcsGkPsyX2,2024-06-09,5.0,177200.75100000002
jkChc1Rrx9cuUyCM1LDJPS3Rl9h2,2024-05-18,1.0,838.809
ldBmjwfJ4nao6I0c3QkSWVyxInC3,2024-05-19,1.0,1769.7169999999999
ldBmjwfJ4nao6I0c3QkSWVyxInC3,2024-05-20,2.0,70817.758
m5LXPhXcsVfmlVuGJs7GJiaR18J3,2024-05-18,1.0,1628.3519999999999
m5LXPhXcsVfmlVuGJs7GJiaR18J3,2024-05-26,2.0,658516.155
m5LXPhXcsVfmlVuGJs7GJiaR18J3,2024-05-26,3.0,16495.008
miy7809XCNhXj9Bv0VfPYXob3AD2,2024-05-30,1.0,679.8349999999999
omfHlCaqhLN7VprUtxb6IsvPNcr2,2024-06-02,1.0,1007.915
omfHlCaqhLN7VprUtxb6IsvPNcr2,2024-06-02,2.0,2016.137
omfHlCaqhLN7VprUtxb6IsvPNcr2,2024-06-02,3.0,3969.806
omfHlCaqhLN7VprUtxb6IsvPNcr2,2024-06-04,4.0,148962.037
omfHlCaqhLN7VprUtxb6IsvPNcr2,2024-06-10,5.0,512493.153
omfHlCaqhLN7VprUtxb6IsvPNcr2,2024-06-10,6.0,2992.539
pEezqCBcnYggWksfwA86n2weRJG3,2024-05-20,1.0,0.0
