body,idPrestataire,isRead,title,idTransaction,updatedAt,uid,createdAt
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407159,hBMCZbGzhFQZ6vDuPCGqDYoMUIm1,1714834407159
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182526,Ms5hWvGtlOQ1dBwNtASri6JzHmf1,1714834182526
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182559,fYrMaLKpvgZfQ3KFwUhwLiR20sB2,1714834182559
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407204,F7joR7GDYMOONEJlJrjS9SkgOQI2,1714834407204
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407160,AojXxrysK0TqscEl1OsNZMRWhKu2,1714834407160
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407168,Db9KxayTjCfDP844Uf954flxXMy2,1714834407168
Transaction FINALISÉE par le Prestataire,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,La prestation a été REALISÉE par le prestataire HOUSE INNOVATION/IT SERVICES/DOUALA,K0EGuLIo32ota5B1CTvA1709541722827,1709542527827,z5Vl3tUSRgalHfSho6JFNkpjxpn1,1709542249658
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407111,BgDD3Y9UbhNycqRykGmZsnTLYh93,1714834407111
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182522,7g0c4mzhTSXCCeghEpgPFA3wOx92,1714834182522
Vous avez reçu une DEMANDE de paiement,TFCnSLH5dVabxpq36iEALmmsVgn1,False,Demande de NGUEKEU Fonkeng ,AMwWzydXgEJfHbt87cOa1714494239825,1714494261503,Z9Ex7bw1kLXTRmQtpJxCet3Npsh2,1714494261503
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407199,KVQMPv8IWNTpQhxe6lgwoZUu6Rt2,1714834407199
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182514,Y3mGYV2nhnbrL9oTb06ZXGVRsDQ2,1714834182514
Transaction FINALISÉE par le Prestataire,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,La prestation a été REALISÉE par le prestataire HOUSE INNOVATION/IT SERVICES/DOUALA,HAIehgFGuM0Wzg6KgTx61715951345414,1715957098301,z5Vl3tUSRgalHfSho6JFNkpjxpn1,1715952625692
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407098,CgnpQ0n83ifb8W2p2Kxd9LBVbor1,1714834407098
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407094,tDJ2IWWWkiONlfuq5IiHMeJ0Owd2,1714834407094
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407136,Btj0yApQ7tNV9q0FCi6otQm9Cok2,1714834407136
L'équipe Dhoola vous souhaite un excellent week-end!,,True,Bon Week-end ,,1714836005582,914umpyeZkY5lglo8KGumeZWF002,1714834552029
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407145,PfIAs88VVxOdVh2YDlXH87bQ6qD3,1714834407145
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407136,WXsbwC1j86PWCqcyU9PykgL2KSW2,1714834407136
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407150,LQAUcWWbH8bFOB6bsk1Y6ByCTBz2,1714834407150
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182513,RwL58H9R2HWnx1fEUHcszXgRssO2,1714834182513
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407097,svsvPhCbEDaS6oOqP3fP7iwiwwy1,1714834407097
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182552,3gbCf2oks0g46HIJ5BdwTngJpQ12,1714834182552
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407200,S5Ecyoyqb4RfGFQHQJdCnOP0JYs2,1714834407200
Transaction FINALISÉE par le Prestataire,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,La prestation a été REALISÉE par le prestataire HOUSE INNOVATION/IT SERVICES/DOUALA,tQwD2hUNTlKO0fDRCgpW1717243070100,1719478559535,914umpyeZkY5lglo8KGumeZWF002,1717243438746
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407094,6Yh0QVPab9SgP4SzNEIna1mzesB3,1714834407094
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407144,C4ZODIGrh0NvMY5ryOd7DkND7zp1,1714834407144
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407127,QsUbVRlwe4YQmiur5VbiHjCUmU42,1714834407127
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407184,0v4NjLtqu6UsEq4i5X49SeyieVC2,1714834407184
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182549,2pZGRYSnQHcPLIzT4vg1Ax6FRL73,1714834182549
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182545,z4wwZej4C2eZ1nBpIsK1Y9pfLH52,1714834182545
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182536,wRMfQ30oH7b2R6tOXV0CaXNsLvQ2,1714834182536
Transaction FINALISÉE par le Prestataire,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,La prestation a été REALISÉE par le prestataire HOUSE INNOVATION/IT SERVICES/DOUALA,Bfo87pFPeiuINgjj106S1715795869646,1715796569775,z5Vl3tUSRgalHfSho6JFNkpjxpn1,1715796556156
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182550,xHTZVS7jxEezQqI8yHkhHHmn6S13,1714834182550
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407137,siK5yZlW7reziJHcisTjPzj9iOt1,1714834407137
Transaction FINALISÉE par le Prestataire,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,La prestation a été REALISÉE par le prestataire HOUSE INNOVATION/IT SERVICES/DOUALA,TvxbAf6QXq03OYr5j4ii1709553075052,1709579698767,914umpyeZkY5lglo8KGumeZWF002,1709553183089
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407187,KRj56anOQxOg8SepVKlI0lbcJdc2,1714834407187
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407198,uemnt3PK12UzfqRGT2c5YkrPJMr1,1714834407198
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407194,fXBZzkKzXzYEXSaPmhNUQhw0Drx1,1714834407194
Visitez votre application afin de découvrir nos nouveaux prestataires.,,True,Nouveaux Prestataires,,1715953711907,313VQeWKBWVSt90xfJKK0Y803ga2,1714834182550
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182520,fqxyfrXKu3SGJtTtIeHKHYHdTpt1,1714834182520
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182552,opCvLx8meYPzAr5kG6xTREGFdtC3,1714834182552
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182530,z6mGBR38jjdCscKsmMmj3fytzJA2,1714834182530
Transaction FINALISÉE par le Prestataire,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,La prestation a été REALISÉE par le prestataire HOUSE INNOVATION/IT SERVICES/DOUALA,9B0VaYTMMOZec8mm8u0Q1712935621919,1713033006668,914umpyeZkY5lglo8KGumeZWF002,1712936077132
Vous avez reçu une DEMANDE de paiement,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,Demande de kamssu,RsywYziRzgor20eYSAiI1714833478051,1714833511697,z5Vl3tUSRgalHfSho6JFNkpjxpn1,1714833486650
Visitez votre application afin de découvrir nos nouveaux prestataires.,,False,Nouveaux Prestataires,,1714834182551,kCVEWaOxnuZwzwLWLwojF0Rd2gr1,1714834182551
Vous avez reçu une DEMANDE de paiement,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,Demande de kamssu,AOpbBhTnMDPSJgpaQfAk1709922753729,1709922886051,z5Vl3tUSRgalHfSho6JFNkpjxpn1,1709922762194
Transaction FINALISÉE par le Prestataire,Tlrhkqe7OcYuLE8Zr3wZ7WSTTnj1,True,La prestation a été REALISÉE par le prestataire HOUSE INNOVATION/IT SERVICES/DOUALA,tQwD2hUNTlKO0fDRCgpW1717243070100,1717428164781,z5Vl3tUSRgalHfSho6JFNkpjxpn1,1717243438747
L'équipe Dhoola vous souhaite un excellent week-end!,,False,Bon Week-end ,,1714834407141,QCJPOGXWSNgaGDoWy0WXMRjWPzC3,1714834407141
