uid,date,session_id,session_start,session_end,session_duration_in_seconds,visited_pages
914umpyeZkY5lglo8KGumeZWF002,2024-05-04,14.0,2024-05-04 15:13:27.699,2024-05-04 15:26:55.154,807.455,"['userHomePage', 'userTransactionPage', 'codePinPage']"
914umpyeZkY5lglo8KGumeZWF002,2024-05-07,15.0,2024-05-07 07:26:07.297,2024-05-07 07:32:38.195,390.898,"['userHomePage', 'userListePrestatairePage', 'userPrestataireDetailPage', 'userHomeScreenPage', 'userPanierPage']"
914umpyeZkY5lglo8KGumeZWF002,2024-05-08,16.0,2024-05-08 09:47:11.392,2024-05-08 09:47:11.392,0.0,[]
914umpyeZkY5lglo8KGumeZWF002,2024-05-08,17.0,2024-05-08 11:07:32.620,2024-05-08 11:12:36.398,303.778,"['userHomePage', 'codePinPage', 'userPrestataireDetailPage', 'userHomeScreenPage', 'codePinPage', 'userHomePage', 'userPanierPage', 'userListePrestatairePage', 'userPanierPage', 'userHomeScreenPage', 'userPrestataireDetailPage', 'userListePrestatairePage']"
914umpyeZkY5lglo8KGumeZWF002,2024-05-09,18.0,2024-05-09 17:17:30.994,2024-05-09 17:17:30.994,0.0,[]
914umpyeZkY5lglo8KGumeZWF002,2024-05-10,19.0,2024-05-10 12:16:20.400,2024-05-10 12:47:33.919,1873.519,"['userHomePage', 'userContactPage', 'userHomePage', 'userHomePage', 'codePinPage', 'userContactPage', 'userHomeScreenPage', 'userHomeScreenPage', 'userHomePage', 'userContactPage', 'codePinPage', 'codePinPage', 'userHomePage', 'codePinPage', 'userHomeScreenPage', 'userContactPage', 'userHomeScreenPage', 'userContactPage', 'userHomeScreenPage', 'userContactPage']"
914umpyeZkY5lglo8KGumeZWF002,2024-05-11,20.0,2024-05-11 12:12:48.891,2024-05-11 12:50:36.212,2267.321,"['userHomeScreenPage', 'userConversationPage', 'userHomePage', 'userListePrestatairePage', 'userContactPage', 'userHomeScreenPage', 'codePinPage', 'userDetailContactPage', 'codePinPage', 'userContactPage', 'userHomePage', 'userHomePage', 'userHomeScreenPage', 'userContactPage', 'userContactPage', 'userTransactionPage', 'userHomeScreenPage', 'userPrestataireDetailPage', 'userPanierPage', 'userConversationPage', 'codePinPage', 'userHomePage', 'userPanierPage', 'userPrestataireDetailPage', 'userContactPage', 'codePinPage', 'userListePrestatairePage', 'userTransactionPage', 'userPanierPage']"
914umpyeZkY5lglo8KGumeZWF002,2024-05-11,21.0,2024-05-11 13:35:59.858,2024-05-11 13:35:59.858,0.0,[]
914umpyeZkY5lglo8KGumeZWF002,2024-05-11,22.0,2024-05-11 14:10:20.494,2024-05-11 14:11:15.003,54.509,['userContactPage']
914umpyeZkY5lglo8KGumeZWF002,2024-05-11,23.0,2024-05-11 14:49:20.505,2024-05-11 14:49:20.505,0.0,[]
914umpyeZkY5lglo8KGumeZWF002,2024-05-14,24.0,2024-05-14 08:46:32.728,2024-05-14 08:46:32.728,0.0,[]
914umpyeZkY5lglo8KGumeZWF002,2024-05-14,25.0,2024-05-14 14:44:00.625,2024-05-14 14:44:00.625,0.0,[]
914umpyeZkY5lglo8KGumeZWF002,2024-05-14,26.0,2024-05-14 15:16:22.576,2024-05-14 15:17:59.684,97.108,['codePinPage']
914umpyeZkY5lglo8KGumeZWF002,2024-05-14,27.0,2024-05-14 17:18:06.744,2024-05-14 17:18:06.744,0.0,[]
914umpyeZkY5lglo8KGumeZWF002,2024-05-14,28.0,2024-05-14 18:10:29.003,2024-05-14 18:10:48.203,19.2,[]
914umpyeZkY5lglo8KGumeZWF002,2024-05-14,29.0,2024-05-14 19:50:06.946,2024-05-14 19:50:17.205,10.259,['codePinPage']
914umpyeZkY5lglo8KGumeZWF002,2024-05-15,30.0,2024-05-15 08:21:17.710,2024-05-15 08:43:12.680,1314.97,"['userHomePage', 'userHomeScreenPage']"
